Gene Systematic Name	Gene Name	Description
YMR297W	PRC1	Vacuolar carboxypeptidase Y (proteinase C, CPY); broad-specificity C-terminal exopeptidase involved in non-specific protein degradation in vacuole; involved, along with functional homolog Prc1p, in vacuolar zymogen activation, breakdown of autophagic body, and autophagosome-dependent protein synthesis; role in phytochelatin synthesis; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway; member of serine carboxypeptidase family; N-glycosylated
YER012W	PRE1	Beta 4 subunit of the 20S proteasome; localizes to the nucleus throughout the cell cycle
YOR362C	PRE10	Alpha 7 subunit of the 20S proteasome; protein abundance increases in response to DNA replication stress
YMR314W	PRE5	Alpha 6 subunit of the 20S proteasome; protein abundance increases in response to DNA replication stress
YBL041W	PRE7	Beta 6 subunit of the 20S proteasome
YDL039C	PRM7	Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the IMI1
YER023W	PRO3	Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis
YDR243C	PRP28	Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family
YKL116C	PRR1	Serine/threonine protein kinase; inhibits pheromone induced signaling downstream of MAPK, possibly at the level of the Ste12p transcription factor
YOL061W	PRS5	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress
YKR013W	PRY2	Sterol binding protein involved in the export of acetylated sterols; role in sterol export is redundant with that of PRY1; redundant role with PRY1 and PRY3 in the export of free fatty acids; may be involved in detoxification of hydrophobic compounds; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins)
YDL055C	PSA1	GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure
YNL169C	PSD1	Phosphatidylserine decarboxylase of the mitochondrial inner membrane; converts phosphatidylserine to phosphatidylethanolamine; regulates mitochondrial fusion and morphology; partly exposed to the mitochondrial intermembrane space; ER-localized fraction is involved in formation of lipid droplets; autocatalytically processed
YOL045W	PSK2	PAS-domain containing serine/threonine protein kinase; regulates sugar flux and translation in response to an unknown metabolite by phosphorylating Ugp1p and Gsy2p (sugar flux) and Caf20p, Tif11p and Sro9p (translation); PSK2 has a paralog, PSK1, that arose from the whole genome duplication
YLR376C	PSY3	Component of Shu complex (aka PCSS complex); Shu complex also includes Shu1, Csm2, Shu2, and promotes error-free DNA repair; promotes Rad51p filament assembly; Shu complex mediates inhibition of Srs2p function; Psy3p and Csm2p contain similar DNA-binding regions which work together to form a single DNA binding site; deletion of PSY3 results in a mutator phenotype; deletion increases sensitivity to anticancer drugs oxaliplatin and cisplatin but not mitomycin C
YOL114C	PTH4	Stalled-ribosome rescue factor srRF1; similar to human peptidyl-tRNA hydrolase ICT1; associates with mitochondrial large subunit; not an essential gene
YGR156W	PTI1	Essential component of CPF (cleavage and polyadenylation factor); involved in 3' end formation of snoRNA and mRNA; interacts directly with Pta1p; relocalizes to the cytosol in response to hypoxia; similar to mammalian Cleavage-Stimulation Factor CstF-64
YKL198C	PTK1	Putative serine/threonine protein kinase; regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein; PTK1 has a paralog, PTK2, that arose from the whole genome duplication
YOR208W	PTP2	Phosphotyrosine-specific phosphatase; major role in osmolarity sensing through dephosphorylation of the Hog1p MAPK with a minor role by Ptp3p; inactivates and regulates Hog1p localization; major role in the cell wall integrity pathway through dephosphorylation of MAPK Slt2p with a minor role by Ptp3p; minor role with Msg5p in the pheromone adaptive response through dephosphorylation of MAPK Fus3p with major role by Ptp3p; co-regulates the calcium signaling pathway with Msg5p; nuclear localized
YER075C	PTP3	Phosphotyrosine-specific protein phosphatase; major role in the pheromone adaptive response through dephosphorylation of the Fus3p MAPK with a minor role by Ptp2p and Msg5p; minor role in the inactivation of Hog1p MAPK during osmolarity sensing with major role by Ptp2p; dephosphorylates and regulates the localization of Hog1p; minor role in the cell wall integrity pathway through tyrosine dephosphorylation of the MAPK Slt2p while Ptp2p plays a major role; localizes to the cytoplasm
YKR093W	PTR2	Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by N-end rule pathway via repression by Cup9p; targeted to vacuole via AP-3 pathway
YGR280C	PXR1	Essential protein involved in rRNA and snoRNA maturation; competes with TLC1 RNA for binding to Est2p, suggesting a role in negative regulation of telomerase; human homolog inhibits telomerase; contains a G-patch RNA interacting domain
YGL062W	PYC1	Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc2p; mutations in the human homolog are associated with lactic acidosis; PYC1 has a paralog, PYC2, that arose from the whole genome duplication
YBR218C	PYC2	Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc1p; mutations in the human homolog are associated with lactic acidosis; PYC2 has a paralog, PYC1, that arose from the whole genome duplication
YNL010W	PYP1	Sugar alcohol phosphatase; polyol phosphatase that hydrolyzes sorbitol-6-phosphate, ribitol-5-phosphate, and (D)-glycerol-3-phosphate, maintaining phosphoglucose isomerase (PGI) activity in the presence of PGI-inhibitory sugar alcohols; expression correlated with growth rate; GFP-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant displays increased glycogen accumulation; member of the haloacid dehalogenase (HAD) superfamily 
YJL166W	QCR8	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p
YDL104C	QRI7	Protein involved in threonylcarbamoyl adenosine biosynthesis; Sua5p and Qri7p are necessary and sufficient for RNA t6A modification in vitro; highly conserved mitochondrial protein; essential for t6A modification of mitochondrial tRNAs that decode ANN codons; similar to Kae1p and E. coli YgjD, both of which are also required for tRNA t6A modification; when directed to the cytoplasm, complements the essential function of Kae1p in the KEOPS complex
YML011C	RAD33	Protein involved in nucleotide excision repair; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YGL246C	RAI1	Nuclear decapping endonuclease; targets mRNAs with unmethylated 7-methylguanosine cap structures and 5'-triphosphates; binds to and stabilizes the exoribonuclease Rat1p; required for pre-rRNA processing; involved in an early step of decapping non-canonical nicotinamide adenine dinucleotide (NAD) capped nuclear mRNAs (NAD-RNAs), part of ncRNA surveillance; relocalizes to the cytosol in response to hypoxia; homologous to human DOM3Z
YNL098C	RAS2	GTP-binding protein; regulates nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; activated by increased levels of glycolysis intermediate fructose-1,6-bisphosphate; homolog of mammalian Ras proto-oncogenes; RAS2 has a paralog, RAS1, that arose from the whole genome duplication
YOR048C	RAT1	Nuclear 5' to 3' single-stranded RNA exonuclease; involved in RNA metabolism, including rRNA and snoRNA processing, as well as poly (A+) dependent and independent mRNA transcription termination; required for cotranscriptional pre-rRNA cleavage; displaces Cdk1p from elongating transcripts, especially as RNAPII reaches the poly(A) site, negatively regulates phosphorylation of the CTD of RNAPII, and inhibits RNAPII transcriptional elongation
YDR202C	RAV2	Subunit of RAVE complex (Rav1p, Rav2p, Skp1p); the RAVE complex associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme
YJR030C	RBH2	Putative protein of unknown function; expression repressed in carbon limited vs carbon replete chemostat cultures; non-essential gene; contains a PH-like domain; RBH2 has a paralog, RBH1, that arose from the whole genome duplication
YOR265W	RBL2	Protein involved in microtubule morphogenesis; required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin; similar to mouse beta-tubulin cofactor A; protein abundance increases in response to DNA replication stress
YIL077C	RCI37	Protein that associates with the large mitoribosomal subunit; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)
YBR005W	RCR1	Plasma membrane (PM) ubiquitin ligase-substrate adaptor; involved in cell wall chitin deposition; ubiquitinates and down-regulates chitin synthase Chs3p abundance at PM via calcineurin/Crz1 signaling pathway which regulates RCR1 expression; delivered to PM by exomer complex using novel PM sorting motif; RCR1 has a paralog, RCR2, that arose from the whole genome duplication
